,label,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,time
145,4,472.0,264.7436440677966,431.1292372881356,255,416,279,447,17
146,5,606.0,347.5693069306931,680.2640264026403,330,667,367,696,17
147,6,467.0,419.7066381156317,517.6038543897216,411,502,429,536,17
148,7,185.0,473.1675675675676,713.0162162162162,465,705,481,721,17
149,8,290.0,478.48275862068965,656.3448275862069,471,647,488,668,17
150,9,330.0,483.3515151515152,614.6151515151515,472,607,497,624,17
151,10,319.0,486.3636363636364,727.7335423197492,476,718,498,737,17
152,11,266.0,489.2105263157895,699.8571428571429,482,688,497,712,17
153,12,269.0,493.25278810408923,647.9591078066915,484,639,504,657,17
154,13,461.0,500.84381778741863,715.2472885032538,486,700,514,728,17
155,14,199.0,509.27638190954775,667.5929648241206,496,663,521,673,17
156,15,257.0,527.8326848249027,703.7704280155642,520,696,538,713,17
157,16,343.0,526.9416909620991,733.594752186589,520,719,539,745,17
158,17,191.0,532.9895287958116,774.4607329842931,524,768,546,780,17
159,18,147.0,540.1972789115646,536.1972789115646,536,528,547,547,17
160,19,326.0,551.0429447852761,224.90797546012269,542,212,561,239,17
161,20,164.0,550.7012195121952,499.3719512195122,542,495,560,505,17
162,1,261.0,5.283524904214559,64.09961685823755,0,51,13,77,18
163,2,245.0,64.5265306122449,333.8448979591837,56,326,73,344,18
164,3,180.0,134.9388888888889,137.83333333333334,127,132,145,144,18
165,4,254.0,167.96062992125985,107.9015748031496,158,100,178,116,18
166,5,435.0,255.2896551724138,185.0367816091954,246,171,266,200,18
167,6,268.0,397.8768656716418,38.417910447761194,388,31,413,48,18
168,7,218.0,505.3532110091743,741.5412844036697,496,732,513,753,18
169,8,329.0,528.4802431610942,451.48936170212767,519,440,538,464,18
170,9,257.0,531.2256809338521,734.2412451361868,520,726,542,744,18
171,10,229.0,537.5545851528384,688.7379912663755,529,678,546,698,18
172,1,297.0,4.754208754208754,65.17845117845118,0,48,11,82,19
173,2,629.0,49.651828298887125,104.81240063593005,40,81,61,127,19
174,3,261.0,303.8045977011494,276.0689655172414,295,267,313,287,19
175,4,341.0,338.53958944281527,245.6041055718475,332,230,346,261,19
176,5,191.0,342.4188481675393,182.62303664921467,335,176,351,192,19
177,6,449.0,356.728285077951,677.0200445434299,342,665,370,689,19
178,7,120.0,356.5833333333333,642.6916666666667,350,638,365,648,19
179,8,250.0,405.056,694.72,398,686,414,706,19
180,9,238.0,431.74789915966386,431.15546218487395,424,424,440,440,19
181,10,229.0,440.4061135371179,470.9301310043668,431,464,449,480,19
182,11,222.0,510.54954954954957,725.8693693693693,503,719,521,737,19
183,12,178.0,520.7359550561798,750.0505617977528,512,744,529,760,19
184,13,201.0,527.5820895522388,701.7014925373135,518,695,536,711,19
185,14,336.0,540.0654761904761,334.7708333333333,528,326,553,345,19
186,15,125.0,544.224,776.192,533,772,554,780,19
187,16,724.0,565.9475138121547,661.6546961325967,550,647,580,680,19
188,1,284.0,39.433098591549296,209.45070422535213,31,199,49,220,20
189,2,741.0,356.08906882591094,767.8286099865047,338,753,375,780,20
190,3,257.0,447.6264591439689,696.2412451361868,439,688,457,707,20
191,4,314.0,454.6751592356688,672.0095541401274,444,664,465,682,20
192,5,142.0,467.48591549295776,655.7323943661971,463,648,473,665,20
193,6,269.0,488.48698884758363,646.0446096654275,480,637,497,657,20
194,7,187.0,518.4919786096257,658.3689839572193,511,652,528,665,20
195,8,617.0,567.4635332252836,733.0437601296596,552,717,580,746,20
196,9,350.0,568.2714285714286,307.51714285714286,560,296,579,320,20
197,1,416.0,22.040865384615383,300.13461538461536,9,286,34,312,21
198,2,160.0,36.04375,280.25,30,271,44,289,21
199,3,381.0,98.53543307086615,254.1233595800525,87,246,112,264,21
200,4,341.0,272.96187683284455,430.1202346041056,262,420,286,442,21
201,5,197.0,456.1269035532995,38.26903553299493,448,31,464,47,21
202,6,225.0,477.96,327.11555555555555,471,320,488,339,21
203,7,176.0,495.46022727272725,292.6136363636364,487,287,504,305,21
204,8,154.0,494.27272727272725,574.6883116883117,488,569,503,583,21
205,9,140.0,531.2857142857143,610.7,527,603,537,619,21
206,10,476.0,543.6743697478992,499.2542016806723,532,488,558,513,21
207,1,501.0,69.14570858283433,51.49700598802395,56,39,83,66,22
208,2,537.0,314.0931098696462,262.62011173184356,302,249,328,275,22
209,3,830.0,432.4843373493976,524.121686746988,418,502,446,546,22
210,4,286.0,445.27272727272725,694.8426573426574,434,687,456,705,22
211,5,215.0,484.33953488372094,696.8790697674418,478,687,492,707,22
212,6,269.0,487.3866171003717,728.1338289962825,478,720,497,737,22
213,7,297.0,495.26599326599325,583.03367003367,486,575,505,593,22
214,8,344.0,501.46802325581393,607.8488372093024,493,596,512,619,22
215,9,249.0,529.1927710843373,712.0682730923695,520,703,537,722,22
216,10,330.0,568.7030303030303,509.76666666666665,559,501,580,520,22
217,1,391.0,31.191815856777495,291.3631713554987,20,280,43,306,23
218,2,262.0,103.09541984732824,365.89694656488547,91,358,113,375,23
219,3,913.0,282.105147864184,308.2990142387733,266,292,303,328,23
220,4,368.0,309.67391304347825,269.98641304347825,301,256,319,283,23
221,5,244.0,343.2827868852459,744.1024590163935,335,736,353,753,23
222,6,239.0,383.7531380753138,759.3347280334729,375,752,393,768,23
223,7,292.0,442.6027397260274,677.3630136986301,432,670,456,688,23
224,8,209.0,470.89473684210526,553.755980861244,462,547,480,561,23
225,9,280.0,507.0357142857143,741.6607142857143,496,733,520,752,23
226,10,296.0,547.0,647.3378378378378,535,640,560,656,23
227,1,357.0,167.19607843137254,550.3081232492997,156,540,179,561,24
228,2,622.0,316.1913183279743,242.33601286173632,305,223,331,259,24
229,3,589.0,357.2495755517827,770.0118845500849,337,758,374,780,24
230,4,189.0,389.9470899470899,650.1957671957672,382,644,399,658,24
231,5,248.0,466.1008064516129,680.0645161290323,457,670,474,690,24
232,6,228.0,495.140350877193,216.55263157894737,485,208,504,225,24
233,7,240.0,497.14166666666665,725.8833333333333,488,719,506,735,24
234,8,251.0,503.2948207171315,439.56573705179284,495,431,512,449,24
235,9,378.0,556.0502645502645,364.31481481481484,544,353,568,375,24
236,10,263.0,559.3954372623574,479.4942965779468,551,471,569,489,24
237,11,224.0,560.125,463.6205357142857,552,456,568,472,24
238,1,187.0,54.01069518716577,265.98395721925135,46,259,64,273,25
239,2,369.0,98.80216802168022,178.51761517615176,86,169,113,191,25
240,3,332.0,123.21084337349397,634.4668674698795,113,625,135,647,25
241,4,288.0,262.2986111111111,498.21527777777777,256,488,271,512,25
242,5,403.0,357.87841191066997,769.8188585607941,341,756,370,780,25
243,6,370.0,402.7837837837838,689.2297297297297,392,679,416,705,25
244,7,287.0,471.1498257839721,694.993031358885,462,686,481,705,25
245,8,189.0,491.81481481481484,599.1851851851852,485,590,499,609,25
246,9,359.0,544.4178272980502,651.7019498607242,535,641,556,664,25
247,10,358.0,568.659217877095,724.5027932960894,558,712,580,737,25
248,1,797.0,80.04015056461732,74.88456712672522,63,54,95,95,26
249,2,419.0,95.98806682577566,364.96658711217185,87,353,108,380,26
250,3,804.0,171.39427860696517,537.2226368159204,156,522,188,553,26
251,4,577.0,426.65684575389946,208.47487001733103,414,194,439,225,26
252,5,482.0,487.2282157676349,620.1016597510373,475,607,499,635,26
253,6,525.0,527.7942857142857,495.9638095238095,511,480,542,513,26
254,1,373.0,157.76675603217157,369.93029490616624,144,358,169,380,27
255,2,621.0,171.7085346215781,530.41384863124,161,512,183,551,27
256,3,138.0,382.5652173913044,179.7608695652174,376,172,390,189,27
257,4,586.0,477.35494880546077,559.6638225255973,459,547,495,576,27
258,5,226.0,472.5,326.96902654867256,464,319,480,337,27
259,6,289.0,473.0865051903114,769.5847750865051,464,759,482,780,27
260,7,99.0,475.3838383838384,217.26262626262627,471,209,480,225,27
261,8,154.0,499.8181818181818,772.9675324675325,492,767,508,780,27
262,9,468.0,506.5235042735043,679.6773504273505,493,670,521,690,27
263,10,296.0,519.4121621621622,322.90202702702703,511,313,529,335,27
264,11,280.0,523.6464285714286,709.4785714285714,512,703,537,720,27
265,12,305.0,527.5049180327869,550.1737704918032,517,541,539,561,27
266,13,375.0,533.3813333333334,607.6986666666667,522,597,545,621,27
267,14,330.0,535.1696969696969,155.72121212121212,528,145,545,169,27
268,15,225.0,537.1733333333333,632.7422222222223,529,623,545,641,27
269,16,116.0,539.4913793103449,320.8189655172414,536,312,544,330,27
270,17,337.0,551.4925816023739,596.1127596439169,540,582,560,610,27
271,18,173.0,548.8381502890173,447.5433526011561,543,440,556,457,27
272,19,187.0,567.1764705882352,623.8716577540107,560,617,575,632,27
273,1,664.0,436.6671686746988,594.1731927710844,422,581,451,611,28
274,2,397.0,444.58942065491186,566.6977329974811,433,556,457,578,28
275,3,156.0,506.78846153846155,592.5384615384615,501,582,513,601,28
276,4,173.0,531.4277456647399,323.3179190751445,520,318,544,328,28
277,5,526.0,542.6026615969582,638.5874524714828,527,626,558,651,28
278,1,305.0,432.61639344262295,478.9016393442623,423,470,443,489,29
279,2,217.0,463.33640552995394,726.4377880184331,456,717,474,736,29
